y,x,Obs,Sim
18.799958000000000,100.788830000000004,0.010000000000000,0.05364
18.796296000000002,100.790263999999993,1.900000000000000,1.45235
18.796043000000001,100.786081999999993,0.010000000000000,0.13705
18.794505999999998,100.788117999999997,1.700000000000000,1.67034
18.789843999999999,100.788634999999999,2.920000000000000,1.96963
18.793282000000001,100.784242000000006,0.010000000000000,0.09842
18.788758000000001,100.783698999999999,0.010000000000000,0.20485
18.787493000000001,100.784751000000000,3.350000000000000,3.39681
18.784794999999999,100.785956999999996,2.150000000000000,1.77210
18.785029999999999,100.781630000000007,2.500000000000000,2.76473
18.781003999999999,100.780958999999996,3.250000000000000,3.92725
18.781309000000000,100.779450999999995,2.700000000000000,2.96551
18.783670000000001,100.778009999999995,1.280000000000000,1.54647
18.780449999999998,100.775829999999999,1.200000000000000,1.89625
18.778935000000001,100.778593000000001,3.200000000000000,3.39887
18.777956000000000,100.780956000000003,2.100000000000000,2.60788
18.776758000000001,100.780145000000005,1.750000000000000,2.20401
18.777390000000000,100.778149999999997,2.150000000000000,3.52112
18.777733999999999,100.775228999999996,1.370000000000000,2.33829
18.778479999999998,100.772409999999994,2.100000000000000,2.97835
18.777719999999999,100.774330000000006,1.650000000000000,2.89807
18.776291000000001,100.777906999999999,2.000000000000000,1.90006
18.774432999999998,100.777563000000001,1.880000000000000,1.81323
18.802486999999999,100.791240999999999,1.420000000000000,0.76723
18.770178999999999,100.773601999999997,1.900000000000000,3.90430
18.778331999999999,100.784223999999995,1.950000000000000,2.23062
18.775314000000002,100.783282000000000,2.050000000000000,2.17207
18.760952000000000,100.768037000000007,1.500000000000000,1.80665
18.768122999999999,100.783147000000000,1.900000000000000,3.21782
18.775939000000001,100.766001000000003,0.870000000000000,2.28128
18.762502000000001,100.765732000000000,0.950000000000000,1.04285
18.774404000000001,100.771946999999997,1.490000000000000,3.09722
18.770837000000000,100.783176999999995,1.570000000000000,3.10090
18.773291000000000,100.768060000000006,1.900000000000000,2.29893
18.756430000000002,100.761995999999996,1.200000000000000,1.49852
18.767681000000000,100.771655999999993,2.040000000000000,2.46414
18.777770000000000,100.761899999999997,1.040000000000000,4.85161
18.763870000000001,100.769069999999999,1.730000000000000,3.12754
18.767099000000002,100.763779999999997,1.000000000000000,1.23412
18.753384000000000,100.775484000000006,1.800000000000000,2.87322
18.775227999999998,100.760782000000006,0.900000000000000,3.96915
18.755322000000000,100.772729999999996,1.630000000000000,3.58637
18.763539999999999,100.772880000000001,1.740000000000000,3.85083
18.757670999999998,100.768747000000005,1.250000000000000,1.79659
18.770999000000000,100.762771999999998,0.890000000000000,1.06594
18.773437999999999,100.780979000000002,2.040000000000000,2.68601
